,Variance Swap,Short VIX Future,Short Straddle
Ann.Return,0.3930713661741505,-0.9391952402622665,1.9757110387619976
Ann.Vol,0.908721506501684,1.4165846769619257,1.1680708218387617
Sharpe,0.4325542681248538,-0.6629997172329358,1.6914308634572854
Sortino,1.1530535506149326,-0.8394524482140229,2.6387789930795167
MaxDrawdown,-0.4757214832738161,-1.002696356662894,-0.9749433835099155
Calmar,0.8262636437377503,-0.9366696448245134,2.026487970664713
VaR(5%),-0.09108821371733491,-0.8037160922132635,-0.31685974643548426
CVaR(5%),-0.2589075910395067,-1.0280671801472854,-0.5778720526186433
Skewness,6.369174078838185,-0.8142091789993219,-0.7949051563216938
Kurtosis,46.68650041528753,0.3431265870817448,0.9207366360865223
N,59.0,59.0,59.0
